RAZÓN SOCIAL;WEB_INVESTIGADA;EMAIL_INVESTIGADO
"CARIBE MOTOR DE MEDELLIN S.A.S";"caribemotor.com.co";"protecciondedatos@caribemotor.com.co"
"DISTRIBUIDORA TROPICANA SAS";"grupotropi.com";"info@grupotropi.com"
"STANDARD GOLD DE COLOMBIA S.A.S";"https://www.google.com/search?q=damasa.com.co";"info@https://www.google.com/search?q=damasa.com.co"
"DISTRIBUIDORA COLOMBIANA DE SENTIMIENTOS DE BELLEZA S.A.S.";"leonia.com";"No encontrado"
"ASEAR S.A. E.S.P.";"asearesp.com";"Asearesp@gmail.com"
"BIOPLANTA PALMERA PARA EL DESARROLLO SAS";"bioplanta.co";"recepcion@extractorabpd.com"
"Agrícola Sara Palma S.A.S.";"No encontrado";"No encontrado"
"CONSTRUCTORA AIA SAS";"https://www.google.com/search?q=aia.com.co";"Servicioalcliente@https://www.google.com/search?q=aia.com.co"
"NUTRISER COLOMBIA SAS";"nutriser.com.co";"contacto@nutriser.com.co"
"CADENA S.A";"https://www.google.com/search?q=cadena.com.co";"informacion@https://www.google.com/search?q=cadena.com.co"
"DYNA Y CIA S.A";"dyna.com.co";"info@dyna.com.co"
"PRAGMA S.A.";"pragma.co";"info@pragma.com.co"
"Perez y Cardona SAS";"tierragro.com";"protecciondedatos@tierragro.co"
"Operaciones Generales Suramericana S.A.S.";"sura.com";"servicioalcliente@suramericana.com.co"
"HB FULLER COLOMBIA SAS";"hbfuller.com";"inquiry@hbfuller.com"
"NUVANT SAS";"nuvantglobal.com";"latam@nuvantglobal.com"
"INDUSTRIAS ALIMENTICIAS PERMAN SA";"panperman.com";"contacto@panperman.com"
"CONSULTORIA EN GESTION DE RIESGOS SURAMERICANA S.A.S.";"epssura.com";"notificacionesjudiciales@suramericana.com.co"
"LUM LOGISTIC S A S";"https://www.google.com/search?q=lum.com.co";"Juan@https://www.google.com/search?q=lum.com.co"
"CHACAM TRADING SAS";"https://www.google.com/search?q=chacam.com";"info@https://www.google.com/search?q=chacam.com"
